simID,time,cellID,cellType,x,y
0,0,1,0,3.164618197,2.09930118
0,0,2,0,5.29525223,2.09930118
0,0,3,0,6.360569247,2.09930118
0,0,4,0,9.556520297,2.09930118
0,0,5,0,10.62183731,2.09930118
0,0,6,0,4.731260868,3.039286783
0,0,7,0,5.796577885,3.039286783
0,0,8,0,6.861894902,3.039286783
0,0,9,0,7.927211918,3.039286783
0,0,10,0,10.05784595,3.039286783
0,0,11,0,11.12316297,3.039286783
0,0,12,0,2.09930118,3.916606679
0,0,13,0,4.229935213,3.916606679
0,0,14,0,5.29525223,3.916606679
0,0,15,0,6.360569247,3.916606679
0,0,16,0,9.556520297,3.916606679
0,0,17,0,10.62183731,3.916606679
0,0,18,0,11.68715433,3.916606679
0,0,19,0,2.600626835,4.856592282
0,0,20,0,10.05784595,4.856592282
0,0,21,0,11.12316297,4.856592282
0,0,22,0,12.18847999,4.856592282
0,0,23,0,4.229935213,5.796577885
0,0,24,0,5.29525223,5.796577885
0,0,25,0,6.360569247,5.796577885
0,0,26,0,10.62183731,5.796577885
0,0,27,0,5.796577885,6.673897781
0,0,28,0,6.861894902,6.673897781
0,0,29,0,10.05784595,6.673897781
0,0,30,0,2.09930118,7.613883384
0,0,31,0,3.164618197,7.613883384
0,0,32,0,4.229935213,7.613883384
0,0,33,0,7.425886264,7.613883384
0,0,34,0,8.49120328,7.613883384
0,0,35,0,10.62183731,7.613883384
0,0,36,0,4.731260868,8.553868987
0,0,37,0,7.927211918,8.553868987
0,0,38,0,8.992528935,8.553868987
0,0,39,0,11.12316297,8.553868987
0,0,40,0,2.09930118,9.462521737
0,0,41,0,3.164618197,9.462521737
0,0,42,0,6.360569247,9.462521737
0,0,43,0,8.49120328,9.462521737
0,0,44,0,10.62183731,9.462521737
0,0,45,0,11.68715433,9.462521737
0,0,46,0,7.927211918,10.37117449
0,0,47,0,8.992528935,10.37117449
0,0,48,0,10.05784595,10.37117449
0,0,49,0,11.12316297,10.37117449
0,0,50,0,12.18847999,10.37117449
0,0,51,1,2.09930118,2.09930118
0,0,52,1,4.229935213,2.09930118
0,0,53,1,7.425886264,2.09930118
0,0,54,1,8.49120328,2.09930118
0,0,55,1,11.68715433,2.09930118
0,0,56,1,2.600626835,3.039286783
0,0,57,1,3.665943852,3.039286783
0,0,58,1,8.992528935,3.039286783
0,0,59,1,12.18847999,3.039286783
0,0,60,1,3.164618197,3.916606679
0,0,61,1,7.425886264,3.916606679
0,0,62,1,8.49120328,3.916606679
0,0,63,1,3.665943852,4.856592282
0,0,64,1,4.731260868,4.856592282
0,0,65,1,5.796577885,4.856592282
0,0,66,1,6.861894902,4.856592282
0,0,67,1,7.927211918,4.856592282
0,0,68,1,8.992528935,4.856592282
0,0,69,1,2.09930118,5.796577885
0,0,70,1,3.164618197,5.796577885
0,0,71,1,7.425886264,5.796577885
0,0,72,1,8.49120328,5.796577885
0,0,73,1,9.556520297,5.796577885
0,0,74,1,11.68715433,5.796577885
0,0,75,1,2.600626835,6.673897781
0,0,76,1,3.665943852,6.673897781
0,0,77,1,4.731260868,6.673897781
0,0,78,1,7.927211918,6.673897781
0,0,79,1,8.992528935,6.673897781
0,0,80,1,11.12316297,6.673897781
0,0,81,1,12.18847999,6.673897781
0,0,82,1,5.29525223,7.613883384
0,0,83,1,6.360569247,7.613883384
0,0,84,1,9.556520297,7.613883384
0,0,85,1,11.68715433,7.613883384
0,0,86,1,2.600626835,8.553868987
0,0,87,1,3.665943852,8.553868987
0,0,88,1,5.796577885,8.553868987
0,0,89,1,6.861894902,8.553868987
0,0,90,1,10.05784595,8.553868987
0,0,91,1,12.18847999,8.553868987
0,0,92,1,4.229935213,9.462521737
0,0,93,1,5.29525223,9.462521737
0,0,94,1,7.425886264,9.462521737
0,0,95,1,9.556520297,9.462521737
0,0,96,1,2.600626835,10.37117449
0,0,97,1,3.665943852,10.37117449
0,0,98,1,4.731260868,10.37117449
0,0,99,1,5.796577885,10.37117449
0,0,100,1,6.861894902,10.37117449
0,2.940856746,1,0,3.447568178,2.37557106
0,2.940856746,2,0,5.333132247,2.824945124
0,2.940856746,3,0,6.428561539,2.646999458
0,2.940856746,4,0,9.427115612,2.809930296
