0	1080	1080	180	180
10	1114	1263	180	248
20	1121	1311	180	258
30	1110	1329	180	254
40	1083	1334	180	261
50	1062	1361	180	262
60	1050	1350	182	264
70	1020	1383	180	263
80	1010	1399	179	261
90	1004	1444	178	265
100	984	1414	178	268
110	951	1400	179	269
120	944	1451	179	268
130	930	1469	180	274
140	924	1472	179	271
150	902	1458	174	270
160	884	1431	178	273
170	865	1426	170	268
180	851	1494	172	274
190	827	1450	172	271
200	822	1417	173	270
210	804	1476	169	272
220	798	1491	171	269
230	793	1475	170	270
240	792	1450	168	271
250	779	1496	167	274
260	782	1500	165	272
270	763	1524	164	273
280	747	1464	166	273
290	741	1501	164	278
300	722	1488	162	271
310	720	1484	157	271
320	724	1436	157	269
330	696	1492	159	272
340	701	1496	154	277
350	704	1460	156	271
360	711	1529	150	269
370	711	1541	143	262
380	677	1521	152	278
390	680	1541	159	282
400	665	1476	151	275
410	677	1459	150	269
420	669	1497	154	275
430	680	1471	155	280
440	658	1451	149	270
450	654	1480	152	275
460	639	1504	149	274
470	626	1490	148	275
480	654	1473	149	273
490	656	1440	146	269
500	639	1506	143	266
510	634	1496	148	273
520	649	1518	150	276
530	630	1481	149	275
540	625	1466	150	277
550	627	1488	146	274
560	615	1450	143	269
570	605	1479	143	268
580	595	1476	148	273
590	606	1459	141	268
600	608	1450	141	267
610	618	1455	141	268
620	599	1527	139	273
630	593	1434	141	273
640	599	1453	134	265
650	608	1461	138	273
660	605	1474	137	266
670	604	1516	140	277
680	605	1490	140	268
690	582	1548	135	266
700	572	1481	138	272
710	582	1484	136	269
720	574	1481	139	271
730	577	1483	141	272
740	562	1450	139	271
750	580	1529	138	277
760	583	1468	136	273
770	580	1483	139	275
780	563	1446	138	278
790	597	1476	136	273
800	590	1439	135	276
810	592	1499	132	268
820	599	1533	136	270
830	594	1465	140	277
840	583	1511	133	277
850	581	1536	134	274
860	603	1509	136	270
870	590	1468	134	268
880	592	1509	130	267
890	582	1501	131	265
900	588	1480	134	269
910	594	1467	133	265
920	594	1443	133	267
930	594	1497	136	270
940	585	1523	139	281
950	588	1583	141	281
960	595	1518	142	278
970	593	1515	141	274
980	595	1486	140	278
990	579	1475	136	271
1000	586	1485	140	281
