simID,time,cellID,cellType,x,y
0,0.0,0,0,0.5,0.57735
0,0.0,1,0,1.5,0.57735
0,0.0,2,0,2.5,0.57735
0,0.0,3,0,3.5,0.57735
0,0.0,4,0,4.5,0.57735
0,0.0,5,0,5.5,0.57735
0,0.0,6,0,6.5,0.57735
0,0.0,7,0,7.5,0.57735
0,0.0,8,0,8.5,0.57735
0,0.0,9,0,9.5,0.57735
0,0.0,10,0,1.0,1.44338
0,0.0,11,0,2.0,1.44338
0,0.0,12,0,3.0,1.44338
0,0.0,13,0,4.0,1.44338
0,0.0,14,0,5.0,1.44338
0,0.0,15,0,6.0,1.44338
0,0.0,16,0,7.0,1.44338
0,0.0,17,0,8.0,1.44338
0,0.0,18,0,9.0,1.44338
0,0.0,19,0,10.0,1.44338
0,0.0,20,0,0.5,2.3094
0,0.0,21,0,1.5,2.3094
0,0.0,22,0,2.5,2.3094
0,0.0,23,0,3.5,2.3094
0,0.0,24,0,4.5,2.3094
0,0.0,25,0,5.5,2.3094
0,0.0,26,0,6.5,2.3094
0,0.0,27,0,7.5,2.3094
0,0.0,28,0,8.5,2.3094
0,0.0,29,0,9.5,2.3094
0,0.0,30,0,1.0,3.17543
0,0.0,31,0,2.0,3.17543
0,0.0,32,0,3.0,3.17543
0,0.0,33,0,4.0,3.17543
0,0.0,34,0,5.0,3.17543
0,0.0,35,0,6.0,3.17543
0,0.0,36,0,7.0,3.17543
0,0.0,37,0,8.0,3.17543
0,0.0,38,0,9.0,3.17543
0,0.0,39,0,10.0,3.17543
0,0.0,40,0,0.5,4.04145
0,0.0,41,0,1.5,4.04145
0,0.0,42,0,2.5,4.04145
0,0.0,43,0,3.5,4.04145
0,0.0,44,0,4.5,4.04145
0,0.0,45,0,5.5,4.04145
0,0.0,46,0,6.5,4.04145
0,0.0,47,0,7.5,4.04145
0,0.0,48,0,8.5,4.04145
0,0.0,49,0,9.5,4.04145
0,0.0,50,1,1.0,4.90748
0,0.0,51,1,2.0,4.90748
0,0.0,52,1,3.0,4.90748
0,0.0,53,1,4.0,4.90748
0,0.0,54,1,5.0,4.90748
0,0.0,55,1,6.0,4.90748
0,0.0,56,1,7.0,4.90748
0,0.0,57,1,8.0,4.90748
0,0.0,58,1,9.0,4.90748
0,0.0,59,1,10.0,4.90748
0,0.0,60,1,0.5,5.7735
0,0.0,61,1,1.5,5.7735
0,0.0,62,1,2.5,5.7735
0,0.0,63,1,3.5,5.7735
0,0.0,64,1,4.5,5.7735
0,0.0,65,1,5.5,5.7735
0,0.0,66,1,6.5,5.7735
0,0.0,67,1,7.5,5.7735
0,0.0,68,1,8.5,5.7735
0,0.0,69,1,9.5,5.7735
0,0.0,70,1,1.0,6.63953
0,0.0,71,1,2.0,6.63953
0,0.0,72,1,3.0,6.63953
0,0.0,73,1,4.0,6.63953
0,0.0,74,1,5.0,6.63953
0,0.0,75,1,6.0,6.63953
0,0.0,76,1,7.0,6.63953
0,0.0,77,1,8.0,6.63953
0,0.0,78,1,9.0,6.63953
0,0.0,79,1,10.0,6.63953
0,0.0,80,1,0.5,7.50555
0,0.0,81,1,1.5,7.50555
0,0.0,82,1,2.5,7.50555
0,0.0,83,1,3.5,7.50555
0,0.0,84,1,4.5,7.50555
0,0.0,85,1,5.5,7.50555
0,0.0,86,1,6.5,7.50555
0,0.0,87,1,7.5,7.50555
0,0.0,88,1,8.5,7.50555
0,0.0,89,1,9.5,7.50555
0,0.0,90,1,1.0,8.37158
0,0.0,91,1,2.0,8.37158
0,0.0,92,1,3.0,8.37158
0,0.0,93,1,4.0,8.37158
0,0.0,94,1,5.0,8.37158
0,0.0,95,1,6.0,8.37158
0,0.0,96,1,7.0,8.37158
0,0.0,97,1,8.0,8.37158
0,0.0,98,1,9.0,8.37158
0,0.0,99,1,10.0,8.37158
0,10.0,0,0,0.699366,0.7397
0,10.0,1,0,1.59453,0.750793
0,10.0,2,0,2.54935,0.770541
0,10.0,3,0,3.5416,0.775575
0,10.0,4,0,4.52653,0.791976
0,10.0,5,0,5.49516,0.772434
0,10.0,6,0,6.48789,0.777387
0,10.0,7,0,7.46436,0.745046
0,10.0,8,0,8.43027,0.752172
0,10.0,9,0,9.33818,0.74824
0,10.0,10,0,1.12945,1.52656
0,10.0,11,0,2.07068,1.52168
0,10.0,12,0,3.03087,1.53066
0,10.0,13,0,4.00731,1.53527
0,10.0,14,0,4.99445,1.54714
0,10.0,15,0,5.98908,1.52957
0,10.0,16,0,6.98534,1.51604
0,10.0,17,0,7.94372,1.52123
0,10.0,18,0,8.88926,1.53537
0,10.0,19,0,9.78675,1.48913
0,10.0,20,0,0.711651,2.33972
0,10.0,21,0,1.60157,2.30692
0,10.0,22,0,2.54183,2.30977
0,10.0,23,0,3.51274,2.30642
0,10.0,24,0,4.48314,2.31207
0,10.0,25,0,5.48953,2.29273
0,10.0,26,0,6.49362,2.28926
0,10.0,27,0,7.4788,2.29666
0,10.0,28,0,8.4423,2.31799
0,10.0,29,0,9.3876,2.31287
0,10.0,30,0,1.07312,3.14107
0,10.0,31,0,2.02929,3.07951
0,10.0,32,0,3.00985,3.0716
0,10.0,33,0,4.00453,3.08085
0,10.0,34,0,5.01955,3.06135
0,10.0,35,0,6.0092,3.0664
0,10.0,36,0,6.99579,3.06104
0,10.0,37,0,7.98118,3.0782
0,10.0,38,0,8.93084,3.10487
0,10.0,39,0,9.80109,3.12915
0,10.0,40,0,0.65529,4.05637
0,10.0,41,0,1.57181,3.86627
0,10.0,42,0,2.52087,3.81583
0,10.0,43,0,3.49199,3.82891
0,10.0,44,0,4.50366,3.82021
0,10.0,45,0,5.50346,3.82429
0,10.0,46,0,6.48508,3.82425
0,10.0,47,0,7.46558,3.82116
0,10.0,48,0,8.45996,3.84142
0,10.0,49,0,9.43035,3.94682
0,10.0,50,1,1.04409,4.81164
0,10.0,51,1,2.05376,4.70601
0,10.0,52,1,3.01206,4.69057
0,10.0,53,1,4.01057,4.68038
0,10.0,54,1,5.01066,4.69035
0,10.0,55,1,6.00377,4.70506
0,10.0,56,1,6.98813,4.68955
0,10.0,57,1,7.94973,4.69976
0,10.0,58,1,8.88846,4.76774
0,10.0,59,1,9.7926,4.97908
0,10.0,60,1,0.550017,5.73918
0,10.0,61,1,1.52429,5.69353
0,10.0,62,1,2.51944,5.66834
