0	60	1080	10	180
10	106	1250	19	236
20	111	1259	19	249
30	115	1277	19	250
40	119	1289	19	253
50	125	1296	21	254
60	113	1275	21	254
70	119	1306	23	255
80	111	1298	22	258
90	112	1303	22	259
100	111	1304	21	260
110	114	1281	19	253
120	115	1295	20	256
130	108	1292	19	258
140	112	1289	21	260
150	113	1298	20	261
160	120	1288	22	258
170	124	1298	22	256
180	143	1315	21	256
190	131	1308	22	259
200	139	1294	24	262
210	147	1299	26	259
220	156	1300	26	257
230	164	1302	26	259
240	188	1293	26	259
250	197	1301	29	261
260	210	1317	33	260
270	202	1331	30	258
280	182	1286	31	260
290	191	1307	30	259
300	188	1288	32	263
310	186	1285	31	261
320	199	1301	34	262
330	196	1289	32	261
340	208	1310	32	262
350	200	1291	33	263
360	208	1307	32	259
370	207	1316	34	263
380	193	1282	33	262
390	207	1291	34	262
400	222	1320	33	260
410	223	1323	38	264
420	247	1328	38	262
430	227	1307	38	258
440	221	1298	38	261
450	225	1329	37	258
460	240	1325	37	261
470	228	1321	36	260
480	220	1311	40	260
490	241	1314	41	261
500	236	1299	41	260
510	252	1319	41	259
520	246	1348	41	260
530	247	1298	42	261
540	261	1319	43	261
550	264	1329	42	262
560	256	1331	41	259
570	245	1321	41	261
580	258	1316	45	261
590	272	1325	45	259
600	279	1306	44	257
610	254	1305	43	259
620	260	1319	45	261
630	260	1293	45	260
640	284	1324	47	259
650	301	1336	46	258
660	307	1321	49	261
670	291	1298	45	258
680	270	1306	43	259
690	245	1280	44	259
700	275	1306	47	261
710	295	1289	44	259
720	282	1323	44	258
730	291	1321	44	258
740	298	1319	45	257
750	290	1303	47	258
760	290	1305	49	261
770	311	1322	50	260
780	311	1332	50	263
790	338	1325	50	260
800	327	1331	52	261
810	340	1322	52	262
820	335	1349	51	259
830	320	1346	48	262
840	309	1318	52	262
850	309	1339	50	259
860	331	1342	53	263
870	334	1307	52	259
880	346	1327	54	260
890	348	1342	54	259
900	363	1356	52	263
910	353	1337	53	259
920	313	1311	50	262
930	311	1308	52	263
940	361	1321	53	264
950	323	1324	53	260
960	316	1341	52	259
970	334	1335	54	263
980	346	1334	55	261
990	333	1322	58	262
1000	345	1323	57	263
