time,heterotypic_voronoi_length,heterotypic_connections
0.0,9.91,10.0
10.0,10.302029441020869,19.0
20.0,10.513816538064885,19.0
30.0,10.654649057333154,19.0
40.0,10.582924963465393,19.0
50.0,11.130764861793242,19.0
60.0,10.986902084688644,19.0
70.0,10.969709992879729,19.0
80.0,11.069627800999232,19.0
90.0,10.941503518121026,19.0
100.0,11.693380475196424,19.0
110.0,11.605936880286574,19.0
120.0,12.023041557329828,19.0
130.0,12.366421102181599,19.0
140.0,12.708491205267476,20.0
150.0,12.722725542520056,21.0
160.0,13.68029301560367,21.0
170.0,13.670720257966682,22.0
180.0,14.216641485169621,21.0
190.0,14.161453010673334,21.0
200.0,14.979334816426668,22.0
210.0,16.279863369449487,26.0
220.0,17.913932992148194,26.0
230.0,18.380112169701846,26.0
240.0,17.759313582739626,24.0
250.0,18.382356561200048,24.0
260.0,20.59116861573431,28.0
270.0,20.471619704600386,28.0
280.0,21.69161951965392,29.0
290.0,22.27515784313599,30.0
300.0,20.989704418133307,30.0
310.0,21.55336191805856,31.0
320.0,22.405197191101934,32.0
330.0,22.956903718775685,33.0
340.0,23.119939325584348,31.0
350.0,22.047591116850885,31.0
360.0,22.53056196978988,33.0
370.0,21.5750172425773,32.0
380.0,21.733363732373324,33.0
390.0,21.96275588425363,32.0
400.0,22.194449278760835,34.0
410.0,22.2513221896134,34.0
420.0,23.04772294753386,33.0
430.0,23.03892889708206,33.0
440.0,23.16898710370787,34.0
450.0,23.886579882453958,36.0
460.0,24.709990849819164,36.0
470.0,24.431269746642943,36.0
480.0,25.329223259151153,39.0
490.0,26.56921789836253,40.0
500.0,26.52559026139902,41.0
510.0,27.706911009968756,43.0
520.0,27.38877658008239,44.0
530.0,27.822389218137644,42.0
540.0,28.689827398704807,42.0
550.0,28.516697752029945,40.0
560.0,27.328149080503465,40.0
570.0,27.94854701683136,40.0
580.0,27.305091252043432,41.0
590.0,28.823115984701708,43.0
600.0,28.909072471213307,42.0
610.0,27.987509123443655,42.0
620.0,28.894320452184182,44.0
630.0,30.039989102606736,45.0
640.0,30.329159945279812,46.0
650.0,31.052705096533522,45.0
660.0,32.35952595738742,45.0
670.0,31.662988714554,44.0
680.0,30.99013604670677,46.0
690.0,30.715891301082422,45.0
700.0,30.89032110414115,45.0
710.0,31.86462235761817,44.0
720.0,31.542907617641212,43.0
730.0,32.126050509506925,42.0
740.0,31.517550414173947,43.0
750.0,32.49498648169068,46.0
760.0,32.82244880976924,46.0
770.0,33.84182615274201,48.0
780.0,33.614276828928496,47.0
790.0,34.22867399248968,49.0
800.0,34.925561754442306,48.0
810.0,34.88845613271584,48.0
820.0,35.08493386554714,47.0
830.0,33.930705319390746,48.0
840.0,33.2932604201874,48.0
850.0,33.39769232518199,48.0
860.0,33.81979632644332,48.0
870.0,35.10583447465984,48.0
880.0,36.34119305635187,50.0
890.0,36.471209162938386,50.0
900.0,36.47986579135938,51.0
910.0,35.960071419433724,49.0
920.0,34.88253820691098,49.0
930.0,35.08257081267878,49.0
940.0,35.6937422947924,51.0
950.0,36.46236531264719,51.0
960.0,36.789725016367896,52.0
970.0,35.6524356606938,52.0
980.0,35.662065243780255,54.0
990.0,37.38107163168564,55.0
1000.0,38.58141095069802,55.0
