0	60	1080	10	180
10	66	1487	18	239
20	74	1463	18	241
30	76	1544	17	250
40	70	1572	20	255
50	74	1516	18	243
60	71	1482	19	254
70	70	1546	18	253
80	71	1591	21	261
90	74	1600	17	263
100	72	1538	20	264
110	73	1541	17	260
120	78	1562	19	263
130	74	1586	18	270
140	83	1561	16	261
150	79	1582	20	267
160	72	1601	19	273
170	71	1581	16	277
180	74	1634	19	282
190	72	1544	19	273
200	69	1594	18	276
210	76	1625	22	275
220	75	1654	19	275
230	76	1584	20	280
240	79	1650	19	280
250	82	1592	21	277
260	86	1581	20	277
270	79	1588	18	274
280	83	1603	18	278
290	80	1648	20	280
300	79	1645	19	282
310	82	1584	20	274
320	84	1504	20	274
330	81	1548	18	271
340	79	1593	19	268
350	79	1553	18	279
360	78	1601	17	278
370	90	1625	18	279
380	85	1573	17	272
390	87	1573	18	271
400	87	1588	18	271
410	82	1611	20	272
420	82	1569	19	281
430	83	1628	19	287
440	92	1613	20	284
450	84	1522	20	281
460	88	1574	19	273
470	85	1503	20	281
480	80	1574	21	283
490	77	1610	20	285
500	92	1644	21	284
510	83	1616	20	282
520	85	1592	21	279
530	83	1583	21	278
540	83	1580	21	273
550	89	1547	19	272
560	82	1542	20	272
570	87	1591	20	280
580	83	1619	18	280
590	89	1629	23	278
600	93	1637	21	288
610	83	1581	21	275
620	80	1592	20	281
630	82	1597	22	286
640	83	1621	19	274
650	86	1615	20	281
660	84	1633	21	278
670	83	1593	20	283
680	87	1581	19	275
690	92	1596	20	280
700	88	1616	21	271
710	84	1587	22	273
720	93	1627	21	285
730	87	1567	21	283
740	88	1612	20	280
750	89	1568	21	280
760	92	1535	21	284
770	91	1631	21	281
780	83	1584	22	285
790	84	1567	21	272
800	83	1654	19	273
810	91	1625	21	274
820	91	1550	20	276
830	100	1650	21	284
840	94	1644	23	281
850	91	1597	20	276
860	94	1566	21	271
870	85	1635	19	280
880	89	1575	21	277
890	85	1607	19	282
900	92	1626	20	279
910	84	1566	21	279
920	84	1599	20	280
930	87	1627	19	277
940	84	1525	18	269
950	84	1608	19	276
960	88	1617	20	281
970	93	1593	21	277
980	88	1562	19	272
990	84	1621	18	272
1000	85	1597	21	279
