time,heterotypic_voronoi_length,heterotypic_connections
0.0,349.5581331716294,586.0
1.0,227.24337609623885,474.0
2.0,207.46778320654786,430.0
3.0,191.0888523051693,401.0
4.0,178.35049370790153,376.0
5.0,172.98014940516057,363.0
6.0,168.8786504974107,351.0
7.0,165.26603476044681,341.0
8.0,161.50597010470275,337.0
9.0,157.8065389416401,330.0
10.0,154.26660114660655,327.0
11.0,150.87341335373782,319.0
12.0,149.71555858536115,315.0
13.0,144.23520573498644,303.0
14.0,144.3015558668284,303.0
15.0,144.15331578207523,299.0
16.0,143.00815424391746,296.0
17.0,142.4227835500617,293.0
18.0,140.62959838579445,289.0
19.0,140.2578496726178,290.0
20.0,139.32891518334196,291.0
21.0,139.0245533863005,292.0
22.0,138.4892202792017,291.0
23.0,137.1503366377819,288.0
24.0,136.42086537959935,286.0
25.0,135.5068503455639,283.0
26.0,135.77305488269693,284.0
27.0,134.3708253679654,281.0
28.0,133.9417981384085,282.0
29.0,134.48040241329343,280.0
30.0,133.53018934870616,279.0
31.0,132.23904191156208,279.0
32.0,131.78529286852074,277.0
33.0,131.4148031410694,274.0
34.0,132.62059024712295,276.0
35.0,133.2408374441222,277.0
36.0,131.90998376217837,276.0
37.0,132.40299548029523,278.0
38.0,131.04216394431563,273.0
39.0,131.19689856531863,274.0
40.0,129.94510076193492,272.0
41.0,129.93969118287893,271.0
42.0,129.9001181296237,271.0
43.0,126.44981244466649,266.0
44.0,125.69586155768715,265.0
45.0,125.70765991350474,266.0
46.0,125.49936015987927,263.0
47.0,126.02967770183811,266.0
48.0,125.32667384288992,263.0
49.0,124.73880355633243,262.0
50.0,124.70441671737166,261.0
51.0,124.15028155010698,262.0
52.0,125.88540815951478,264.0
53.0,125.70514981241426,263.0
54.0,123.16561873779348,259.0
55.0,127.33377330732786,264.0
56.0,126.8643944260471,264.0
57.0,126.93092534392349,264.0
58.0,126.16378369879165,264.0
59.0,123.9994039184659,262.0
60.0,125.20536947941606,263.0
61.0,125.49534052742872,261.0
62.0,121.37828752212835,254.0
63.0,119.8724983736516,253.0
64.0,122.98221217966044,259.0
65.0,119.50511260010282,253.0
66.0,119.02910248575155,250.0
67.0,123.66575908360753,255.0
68.0,123.44257710912686,257.0
69.0,119.85264163290535,252.0
70.0,119.59417613686526,251.0
71.0,122.88716048581527,257.0
72.0,121.36271757815014,256.0
73.0,121.91169789666104,250.0
74.0,122.48617904224461,254.0
75.0,121.74606518828716,255.0
76.0,120.20588036303546,255.0
77.0,120.92057618166486,255.0
78.0,121.97772696491879,256.0
79.0,122.11315042623428,256.0
80.0,120.51517191641935,256.0
81.0,120.44864607174448,252.0
82.0,119.4038458493737,254.0
83.0,122.50637799154978,256.0
84.0,122.56823765517494,256.0
85.0,120.24443828982339,254.0
86.0,119.81978659920073,252.0
87.0,118.59912149549571,252.0
88.0,121.24630125593096,253.0
89.0,121.19302253953674,251.0
90.0,122.26467478789054,252.0
91.0,121.9401140316311,253.0
92.0,119.42988469954224,249.0
93.0,122.78436190246919,252.0
94.0,120.59893226133,251.0
95.0,119.0487309298945,249.0
96.0,121.18360070743782,252.0
97.0,118.83352643758136,247.0
98.0,119.09776105430214,250.0
99.0,118.96147829908043,250.0
100.0,119.30511509386643,250.0
