0	0	
10	0	
20	0	
30	1	7.62311	1.16523	
40	0	
50	6	2.92207	7.6548	5.64588	1.28344	6.85623	7.66099	6.85721	7.62368	4.88131	7.64266	6.85991	7.62402	
60	1	3.69805	1.2904	
70	1	5.00135	2.1089	
80	0	
90	1	5.54132	6.78687	
100	0	
110	2	2.94295	2.16581	2.93045	2.17855	
120	0	
130	1	2.8987	2.21062	
140	2	2.9068	2.21636	7.54586	6.75209	
150	1	2.90659	2.23826	
160	0	
170	0	
180	0	
190	0	
200	0	
210	0	
220	0	
230	1	2.88797	2.12042	
240	0	
250	0	
260	0	
270	0	
280	0	
290	0	
300	0	
310	0	
320	3	2.65209	2.51088	2.65225	2.51537	2.65431	2.51433	
330	0	
340	0	
350	0	
360	0	
370	0	
380	0	
390	1	2.52841	1.13352	
400	0	
410	1	1.50488	1.43655	
420	1	2.14026	1.31476	
430	1	7.63687	6.73266	
440	0	
450	0	
460	1	7.84102	6.42458	
470	0	
480	0	
490	0	
500	0	
510	0	
520	1	7.94745	7.72276	
530	0	
540	1	8.95154	7.45032	
550	0	
560	1	8.3594	7.60726	
570	0	
580	0	
590	0	
600	0	
610	0	
620	0	
630	0	
640	0	
650	0	
660	0	
670	0	
680	0	
690	0	
700	0	
710	0	
720	0	
730	0	
740	0	
750	0	
760	0	
770	0	
780	0	
790	0	
800	0	
810	0	
820	0	
830	0	
840	0	
850	0	
860	0	
870	0	
880	0	
890	0	
900	0	
910	0	
920	0	
930	0	
940	0	
950	0	
960	0	
970	0	
980	0	
990	0	
1000	0	
