simID,time,cellID,cellType,x,y
0,0.0,0,0,0.5,0.57735
0,0.0,1,0,1.5,0.57735
0,0.0,2,0,2.5,0.57735
0,0.0,3,0,3.5,0.57735
0,0.0,4,0,4.5,0.57735
0,0.0,5,0,5.5,0.57735
0,0.0,6,0,6.5,0.57735
0,0.0,7,0,7.5,0.57735
0,0.0,8,0,8.5,0.57735
0,0.0,9,0,9.5,0.57735
0,0.0,10,0,1.0,1.44338
0,0.0,11,0,2.0,1.44338
0,0.0,12,0,3.0,1.44338
0,0.0,13,0,4.0,1.44338
0,0.0,14,0,5.0,1.44338
0,0.0,15,0,6.0,1.44338
0,0.0,16,0,7.0,1.44338
0,0.0,17,0,8.0,1.44338
0,0.0,18,0,9.0,1.44338
0,0.0,19,0,10.0,1.44338
0,0.0,20,0,0.5,2.3094
0,0.0,21,0,1.5,2.3094
0,0.0,22,0,2.5,2.3094
0,0.0,23,0,3.5,2.3094
0,0.0,24,0,4.5,2.3094
0,0.0,25,0,5.5,2.3094
0,0.0,26,0,6.5,2.3094
0,0.0,27,0,7.5,2.3094
0,0.0,28,0,8.5,2.3094
0,0.0,29,0,9.5,2.3094
0,0.0,30,0,1.0,3.17543
0,0.0,31,0,2.0,3.17543
0,0.0,32,0,3.0,3.17543
0,0.0,33,0,4.0,3.17543
0,0.0,34,0,5.0,3.17543
0,0.0,35,0,6.0,3.17543
0,0.0,36,0,7.0,3.17543
0,0.0,37,0,8.0,3.17543
0,0.0,38,0,9.0,3.17543
0,0.0,39,0,10.0,3.17543
0,0.0,40,0,0.5,4.04145
0,0.0,41,0,1.5,4.04145
0,0.0,42,0,2.5,4.04145
0,0.0,43,0,3.5,4.04145
0,0.0,44,0,4.5,4.04145
0,0.0,45,0,5.5,4.04145
0,0.0,46,0,6.5,4.04145
0,0.0,47,0,7.5,4.04145
0,0.0,48,0,8.5,4.04145
0,0.0,49,0,9.5,4.04145
0,0.0,50,1,1.0,4.90748
0,0.0,51,1,2.0,4.90748
0,0.0,52,1,3.0,4.90748
0,0.0,53,1,4.0,4.90748
0,0.0,54,1,5.0,4.90748
0,0.0,55,1,6.0,4.90748
0,0.0,56,1,7.0,4.90748
0,0.0,57,1,8.0,4.90748
0,0.0,58,1,9.0,4.90748
0,0.0,59,1,10.0,4.90748
0,0.0,60,1,0.5,5.7735
0,0.0,61,1,1.5,5.7735
0,0.0,62,1,2.5,5.7735
0,0.0,63,1,3.5,5.7735
0,0.0,64,1,4.5,5.7735
0,0.0,65,1,5.5,5.7735
0,0.0,66,1,6.5,5.7735
0,0.0,67,1,7.5,5.7735
0,0.0,68,1,8.5,5.7735
0,0.0,69,1,9.5,5.7735
0,0.0,70,1,1.0,6.63953
0,0.0,71,1,2.0,6.63953
0,0.0,72,1,3.0,6.63953
0,0.0,73,1,4.0,6.63953
0,0.0,74,1,5.0,6.63953
0,0.0,75,1,6.0,6.63953
0,0.0,76,1,7.0,6.63953
0,0.0,77,1,8.0,6.63953
0,0.0,78,1,9.0,6.63953
0,0.0,79,1,10.0,6.63953
0,0.0,80,1,0.5,7.50555
0,0.0,81,1,1.5,7.50555
0,0.0,82,1,2.5,7.50555
0,0.0,83,1,3.5,7.50555
0,0.0,84,1,4.5,7.50555
0,0.0,85,1,5.5,7.50555
0,0.0,86,1,6.5,7.50555
0,0.0,87,1,7.5,7.50555
0,0.0,88,1,8.5,7.50555
0,0.0,89,1,9.5,7.50555
0,0.0,90,1,1.0,8.37158
0,0.0,91,1,2.0,8.37158
0,0.0,92,1,3.0,8.37158
0,0.0,93,1,4.0,8.37158
0,0.0,94,1,5.0,8.37158
0,0.0,95,1,6.0,8.37158
0,0.0,96,1,7.0,8.37158
0,0.0,97,1,8.0,8.37158
0,0.0,98,1,9.0,8.37158
0,0.0,99,1,10.0,8.37158
0,10.0,0,0,0.622784,0.682659
0,10.0,1,0,1.55923,0.663556
0,10.0,2,0,2.53419,0.67425
0,10.0,3,0,3.53718,0.669174
0,10.0,4,0,4.52834,0.687834
0,10.0,5,0,5.49609,0.665119
0,10.0,6,0,6.49154,0.676748
0,10.0,7,0,7.47382,0.640174
0,10.0,8,0,8.45585,0.660169
0,10.0,9,0,9.40062,0.669181
0,10.0,10,0,1.06143,1.49693
0,10.0,11,0,2.04207,1.49017
0,10.0,12,0,3.01998,1.49315
0,10.0,13,0,4.00225,1.49623
0,10.0,14,0,4.9933,1.51287
0,10.0,15,0,5.99023,1.49355
0,10.0,16,0,6.99224,1.48093
0,10.0,17,0,7.96151,1.48602
0,10.0,18,0,8.93557,1.50725
0,10.0,19,0,9.87856,1.46529
0,10.0,20,0,0.621657,2.34265
0,10.0,21,0,1.5613,2.32354
0,10.0,22,0,2.52591,2.33928
0,10.0,23,0,3.50528,2.33576
0,10.0,24,0,4.47833,2.34241
0,10.0,25,0,5.48976,2.32067
0,10.0,26,0,6.50129,2.31936
0,10.0,27,0,7.49542,2.32461
0,10.0,28,0,8.47431,2.3447
0,10.0,29,0,9.45657,2.33099
0,10.0,30,0,1.01635,3.18096
0,10.0,31,0,2.00366,3.16945
0,10.0,32,0,3.00095,3.17222
0,10.0,33,0,4.00185,3.18273
0,10.0,34,0,5.02248,3.16
0,10.0,35,0,6.01539,3.16664
0,10.0,36,0,7.00479,3.16013
0,10.0,37,0,8.0024,3.17604
0,10.0,38,0,8.96731,3.1944
0,10.0,39,0,9.86944,3.17464
0,10.0,40,0,0.517163,4.06874
0,10.0,41,0,1.51294,4.02514
0,10.0,42,0,2.50071,4.00556
0,10.0,43,0,3.48848,4.02751
0,10.0,44,0,4.49876,4.01585
0,10.0,45,0,5.50122,4.01879
0,10.0,46,0,6.49405,4.0218
0,10.0,47,0,7.48184,4.01137
0,10.0,48,0,8.49625,4.03519
0,10.0,49,0,9.5412,4.07579
0,10.0,50,1,0.959938,4.83753
0,10.0,51,1,2.00623,4.83496
0,10.0,52,1,2.99245,4.84883
0,10.0,53,1,3.99963,4.8555
0,10.0,54,1,5.00342,4.85702
0,10.0,55,1,5.99806,4.85652
0,10.0,56,1,6.99537,4.86041
0,10.0,57,1,7.98002,4.85067
0,10.0,58,1,8.96724,4.85691
0,10.0,59,1,9.9195,4.92071
0,10.0,60,1,0.604656,5.72898
0,10.0,61,1,1.5397,5.7194
0,10.0,62,1,2.51201,5.72961
