time,heterotypic_voronoi_length,heterotypic_connections
0.0,23.387973249942775,39.0
1.0,25.57268604207448,40.0
2.0,27.363002836601552,43.0
3.0,28.55355196430437,43.0
4.0,29.06864153165818,45.0
5.0,30.706469710297526,47.0
6.0,29.837258990722475,47.0
7.0,30.958712154108266,48.0
8.0,31.59773911991224,49.0
9.0,32.001037684541345,50.0
10.0,32.16804942078793,50.0
11.0,32.21110557942879,50.0
12.0,31.094249376425893,47.0
13.0,31.427351113625477,48.0
14.0,31.619326700607232,48.0
15.0,31.621852490486578,50.0
16.0,31.706767449098006,49.0
17.0,31.62779871198251,50.0
18.0,31.75899542445182,49.0
19.0,31.9557491904967,50.0
20.0,31.873840384398967,50.0
21.0,31.89079015805089,49.0
22.0,32.11205593837376,49.0
23.0,32.0674432024985,50.0
24.0,32.10207008496062,50.0
25.0,32.00101735478262,49.0
26.0,32.068759660765956,49.0
27.0,32.14325121383738,49.0
28.0,32.0719516801209,49.0
29.0,32.1099280095095,49.0
30.0,31.915533824242576,50.0
31.0,31.943432210036967,49.0
32.0,32.03424057712542,49.0
33.0,32.30649690449919,50.0
34.0,32.52021537857326,49.0
35.0,32.799678400557994,50.0
36.0,32.803406364013846,51.0
37.0,32.99204640585075,51.0
38.0,32.81729110876031,50.0
39.0,33.235380714387084,51.0
40.0,33.27000993021776,51.0
41.0,33.16531653801654,51.0
42.0,33.231785999684845,52.0
43.0,33.17111834154879,50.0
44.0,33.197670010050935,50.0
45.0,33.19429821050397,52.0
46.0,33.098595494901026,51.0
47.0,33.2032119774242,51.0
48.0,33.27245738533784,52.0
49.0,33.08436418219852,52.0
50.0,33.85943179324149,50.0
51.0,33.05175237501572,50.0
52.0,32.95137023644123,50.0
53.0,33.25572761485376,51.0
54.0,33.142048757458035,50.0
55.0,33.36894491993974,51.0
56.0,33.526353338829914,50.0
57.0,33.31185642037029,50.0
58.0,33.23710632582268,51.0
59.0,33.30444762005639,51.0
60.0,33.317466073397675,52.0
61.0,33.28117165155593,51.0
62.0,33.24208701267256,50.0
63.0,33.18941094880087,50.0
64.0,33.069259149002434,50.0
65.0,33.35285218464034,50.0
66.0,33.13100696987451,50.0
67.0,33.41380440561423,51.0
68.0,33.415471039230155,50.0
69.0,33.368739141473704,51.0
70.0,33.23884524793387,50.0
71.0,33.14359718812302,51.0
72.0,33.20943284764386,51.0
73.0,33.229874969400974,50.0
74.0,33.07833685214393,51.0
75.0,33.4081710325571,51.0
76.0,33.442116969532414,52.0
77.0,33.415299196268876,52.0
78.0,33.129770355472864,51.0
79.0,33.26959817115572,51.0
80.0,33.34066145452967,51.0
81.0,33.55245375763037,52.0
82.0,33.42918755686026,51.0
83.0,34.08016059990211,50.0
84.0,34.233504534275596,52.0
85.0,33.650423318058564,52.0
86.0,34.129891502959765,51.0
87.0,33.468529240642845,50.0
88.0,33.59619342361807,51.0
89.0,33.703096934567306,51.0
90.0,33.53738527635593,51.0
91.0,33.797127410518,52.0
92.0,33.42154281946186,50.0
93.0,33.5559212980708,50.0
94.0,33.62883239903995,51.0
95.0,34.216209959800636,50.0
96.0,34.360112508401805,50.0
97.0,33.697449970232974,51.0
98.0,34.17932427055971,50.0
99.0,33.57057987043023,50.0
100.0,33.64842023502905,51.0
